"ORF","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class"
"SM_S39_scaffold_26209_1","MER0337387_S41A","KJB92845.1 peptidase S41 ","Skermanella aerolata KACC 11604","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_62055_3","MER0088776_M24A","SNR98480.1 methionine aminopeptidase, type I ","Geodermatophilus pulveris","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_59677_1","MER0336965_S41A","SHE92669.1 carboxyl-terminal processing protease ","Flavisolibacter ginsengisoli DSM 18119","Bacteroidetes","Chitinophagia"
"UM_S36_scaffold_45675_1","MER0962725_S01C","OJW21487.1 serine protease ","Planctomycetales bacterium 71-10","Planctomycetes","Planctomycetia"
"VL_S33_scaffold_988_3","MER0463307_C82B","WP_028168284.1 L,D-transpeptidase ","Bradyrhizobium elkanii","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_17043_2","MER0283581_S01C","WP_027565642.1 serine protease ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_92680_1","MER0464055_C82A","WP_027516087.1 L,D-transpeptidase ","Bradyrhizobium sp. WSM1417","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_8684_1","MER0445986_C39","WP_089335398.1 peptidase domain-containing ABC transporter ","Blastococcus sp. DSM 44272","Actinobacteria","Actinobacteria"
"YL_S31_scaffold_39586_1","MER1056526_S41A","WP_057857338.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_6386_3","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_40915_1","MER1046987_S26A","WP_091329513.1 signal peptidase I ","Geodermatophilus ruber","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_10994_4","MER0093475_M02","PYR33702.1 peptidyl-dipeptidase, partial ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_43069_2","MER0117821_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_70712_1","MER0158894_M28D","PYR56098.1 peptidase M28 ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_20506_7","MER0296331_M48B","WP_037054340.1 zinc metalloprotease HtpX ","Pseudonocardia autotrophica","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_2400_7","MER0462729_C82A","WP_051677839.1 murein L,D-transpeptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_077513156.1 tail-specific protease ","Rhodanobacter sp. B05","Proteobacteria","Gammaproteobacteria"
"YH_S30_scaffold_4473_2","MER1048146_S26A","WP_056137309.1 MULTISPECIES: signal peptidase I ","Massilia","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_2798_3","MER0461758_C82B","SDT40997.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Bradyrhizobium canariense","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_39259_2","MER0330443_U62","WP_027570031.1 metalloprotease TldD ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_7110_4","MER1015750_S14","WP_056135310.1 MULTISPECIES: peptidase S14 ","Massilia","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_28838_2","MER0461723_C82B","WP_028349301.1 L,D-transpeptidase ","Bradyrhizobium elkanii","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_137061_1","MER0144643_S53","WP_057583283.1 serine protease ","Streptomyces sp. Root264","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_28838_2","MER0461723_C82B","WP_065726700.1 L,D-transpeptidase ","Bradyrhizobium icense","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_13720_2","MER0283977_S53","SPJ15242.1 putative Tripeptidyl-peptidase I ","Syntrophobacter sp. SbD2","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_43057_1","MER0186198_M04","WP_069765621.1 peptidase M4 ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_6545_2","MER0324867_S08A","WP_075133379.1 S8 family peptidase ","Actinophytocola xinjiangensis","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_465_31","MER0133108_M41","WP_015796974.1 ATP-dependent zinc metalloprotease FtsH ","Catenulispora acidiphila","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_452_27","MER0508131_S01A","WP_053743527.1 serine protease ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_507_32","MER0892635_M50B","WP_053740981.1 RIP metalloprotease ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_22424_2","MER0255494_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_297_32","MER0463752_C82A","WP_053743866.1 L,D-transpeptidase ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_442_15","MER0233973_M23B","WP_053746389.1 M23 family metallopeptidase ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_67722_2","MER0091734_S26A","WP_018460010.1 MULTISPECIES: signal peptidase I ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_20506_7","MER0296331_M48B","WP_019875389.1 zinc metalloprotease HtpX ","Sporichthya polymorpha","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_929_1","MER0162003_M06","WP_053747075.1 M6 family metalloprotease domain-containing protein ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_10615_3","MER0982217_S11","WP_036238684.1 D-alanyl-D-alanine carboxypeptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_24747_1","MER0337532_S41A","WP_051531640.1 S41 family peptidase ","Sphingomonas sp. URHD0057","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_580_11","MER0301637_S01E","WP_105972693.1 trypsin-like serine protease ","Streptomyces geranii","Actinobacteria","Actinobacteria"
"SM_S39_scaffold_19665_2","MER1042149_S24","CUT15649.1 SOSresponse repressor and protease LexA EC 342188 ","Bradyrhizobium sp.","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_12960_3","MER0301637_S01E","WP_069761206.1 S1 family peptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_223_19","MER0348838_M48B","WP_053740695.1 zinc metalloprotease HtpX ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_12960_3","MER0392720_S01E","WP_030678978.1 MULTISPECIES: S1 family peptidase ","Streptomyces","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_14595_3","MER0968720_S08A","WP_105380084.1 peptidase S8 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_5785_4","MER0463752_C82A","WP_069763246.1 L,D-transpeptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_4254_4","MER0330443_U62","WP_036235147.1 metalloprotease TldD ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_16739_6","MER0133108_M41","WP_089908283.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Leifsonia sp. 21MFCrub1.1","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_1264_13","MER0204513_A08","WP_053744456.1 signal peptidase II ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_458_17","MER0348838_M48B","WP_041540134.1 zinc metalloprotease HtpX ","Catenulispora acidiphila","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_309_13","MER0337991_S41A","WP_008062994.1 S41 family peptidase ","Methyloversatilis universalis","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_691_3","MER0075236_M24B","WP_053746084.1 aminopeptidase P family protein ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"SM_S39_scaffold_59340_1","MER0741104_C82A","WP_011663505.1 L,D-transpeptidase ","Rhodopseudomonas palustris","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_7496_3","MER0311852_M13","WP_075794038.1 M13 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2448_6","MER0072554_M17","WP_036237453.1 leucyl aminopeptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_7616_1","MER0183845_S01C","WP_065750960.1 trypsin-like serine protease ","Bradyrhizobium paxllaeri","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_12338_1","MER0126565_S26A","WP_064251391.1 signal peptidase I ","Rhizobium leguminosarum","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_105376143.1 M3 family peptidase ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_2489_4","MER0283204_S41A","PYR29195.1 S41 family peptidase, partial ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_481_32","MER0480115_M23B","WP_011654028.1 peptidase M23 ","Rhizobium leguminosarum","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_16739_6","MER0877058_M41","WP_089908283.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Leifsonia sp. 21MFCrub1.1","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_309_13","MER0337991_S41A","OGA41550.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_19","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_929_1","MER0162003_M06","WP_053747075.1 M6 family metalloprotease domain-containing protein ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_5785_4","MER0463752_C82A","WP_069763246.1 L,D-transpeptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_22424_2","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_70712_1","MER0193940_M28D","PYR56098.1 peptidase M28 ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_14595_3","MER0968720_S08A","WP_105380084.1 peptidase S8 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_26463_3","MER0300498_M48B","WP_007381539.1 MULTISPECIES: zinc metalloprotease HtpX ","Streptomyces","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_10615_3","MER0982217_S11","WP_036238684.1 D-alanyl-D-alanine carboxypeptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_4254_4","MER0330443_U62","WP_091667812.1 metalloprotease TldD ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_22424_2","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_12960_3","MER0088758_S01E","WP_075134390.1 S1 family peptidase ","Actinophytocola xinjiangensis","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_59581_2","MER0137175_M04","WP_069765620.1 M4 family peptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_2489_4","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"ZL_S28_scaffold_43123_3","MER0320979_M28X","OFW12080.1 peptidase M28 ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SH_S37_scaffold_1895_7","MER0096899_S14","WP_015795852.1 ATP-dependent Clp protease proteolytic subunit ","Catenulispora acidiphila","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_21456_1","MER0287891_M04","WP_116175742.1 peptidase M4 ","Kutzneria buriramensis","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_458_17","MER0348838_M48B","WP_041540134.1 zinc metalloprotease HtpX ","Catenulispora acidiphila","Actinobacteria","Actinobacteria"
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_929_3","MER0178978_M04","WP_053747073.1 peptidase M4 family protein ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_223_19","MER0349216_M48B","WP_053740695.1 zinc metalloprotease HtpX ","Streptomyces sp. NRRL WC-3618","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_036235432.1 peptidase M23 ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_137061_1","MER0314723_S53","WP_069764359.1 serine protease ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"SM_S39_scaffold_75955_2","MER0301124_S49B","OLB70494.1 S49 family peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_19665_2","MER0412115_S24","CUT15649.1 SOSresponse repressor and protease LexA EC 342188 ","Bradyrhizobium sp.","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_17043_2","MER0283581_S01C","WP_027565642.1 serine protease ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_5155_1","MER0221968_M61","PYR95208.1 peptidase M61 ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_481_32","MER0480115_M23B","WP_007632219.1 peptidase M23 ","Rhizobium sp. CCGE 510","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_59581_4","MER0187825_M04","EDY54024.1 neutral zinc metalloprotease ","Streptomyces sviceus ATCC 29083","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_056445767.1 peptidase S41 ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_2489_4","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"VL_S33_scaffold_6669_3","MER0461723_C82B","SDN90119.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Afipia sp. GAS231","Proteobacteria","Alphaproteobacteria"
"YL_S31_scaffold_39586_1","MER0337211_S41A","WP_027540516.1 S41 family peptidase ","Bradyrhizobium sp. URHA0002","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_19665_2","MER1042149_S24","CUT15649.1 SOSresponse repressor and protease LexA EC 342188 ","Bradyrhizobium sp.","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_7618_5","MER0742162_C82A","WP_066498860.1 L,D-transpeptidase ","Bradyrhizobium sp. BR 10303","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_28838_2","MER0461723_C82B","WP_028349301.1 L,D-transpeptidase ","Bradyrhizobium elkanii","Proteobacteria","Alphaproteobacteria"
"YL_S31_scaffold_39586_1","MER0337211_S41A","WP_074821712.1 MULTISPECIES: S41 family peptidase ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_12960_3","MER0301637_S01E","WP_069761206.1 S1 family peptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_10619_2","MER0337755_S41A","WP_056662841.1 S41 family peptidase ","Rhizobacter sp. Root1221","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_59581_2","MER0028565_M04","WP_103553184.1 peptidase M4 ","Streptomyces populi","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_309_13","MER0337991_S41A","OGA41550.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_19","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_51750_2","MER0038789_S01C","OQY94519.1 serine protease ","Sphingobacteriales bacterium UTBCD1","Bacteroidetes","Sphingobacteriia"
"UL_S35_scaffold_3133_6","MER0388832_M23B","OLE14395.1 peptidase M23 ","Acidobacteria bacterium 13_1_20CM_4_56_7","Acidobacteria",""
"UL_S35_scaffold_28838_2","MER0461758_C82B","SDJ07794.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Bradyrhizobium ottawaense","Proteobacteria","Alphaproteobacteria"
